timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705668288056,81,HTTP Request-0,301,Moved Permanently,Assignment_2 8-10,text,true,,348,122,2,4,https://makemytrip.com/homestays/,81,0,67
1705668288138,1921,HTTP Request-1,200,OK,Assignment_2 8-10,text,true,,244580,130,2,4,https://www.makemytrip.com:443/homestays/,1854,0,46
1705668288055,2158,HTTP Request,200,OK,Assignment_2 8-9,text,true,,231153,262,2,4,https://www.makemytrip.com:443/holidays-india/,14,0,0
1705668288055,14,HTTP Request-0,301,Moved Permanently,Assignment_2 8-9,text,true,,353,127,2,4,https://makemytrip.com/holidays-india/,14,0,0
1705668288069,2144,HTTP Request-1,200,OK,Assignment_2 8-9,text,true,,230800,135,2,4,https://www.makemytrip.com:443/holidays-india/,2114,0,0
1705668289725,1772,HTTP Request,200,OK,Assignment_no3 9-5,text,true,,244964,252,2,4,https://www.makemytrip.com:443/homestays/,13,0,0
1705668289725,13,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-5,text,true,,348,122,2,4,https://makemytrip.com/homestays/,13,0,0
1705668289738,1759,HTTP Request-1,200,OK,Assignment_no3 9-5,text,true,,244616,130,2,4,https://www.makemytrip.com:443/homestays/,1740,0,0
1705668289726,1920,HTTP Request,200,OK,Assignment_no3 9-6,text,true,,237626,246,2,4,https://www.makemytrip.com:443/hotels/,71,0,60
1705668289726,71,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-6,text,true,,345,119,2,4,https://makemytrip.com/hotels/,71,0,60
1705668289797,1849,HTTP Request-1,200,OK,Assignment_no3 9-6,text,true,,237281,127,2,4,https://www.makemytrip.com:443/hotels/,1796,0,44
1705668295070,1813,HTTP Request,200,OK,Assignment_2 8-9,text,true,,244964,252,2,4,https://www.makemytrip.com:443/homestays/,19,0,0
1705668295070,19,HTTP Request-0,301,Moved Permanently,Assignment_2 8-9,text,true,,348,122,2,4,https://makemytrip.com/homestays/,19,0,0
1705668295089,1794,HTTP Request-1,200,OK,Assignment_2 8-9,text,true,,244616,130,2,4,https://www.makemytrip.com:443/homestays/,1783,0,0
1705668295070,2334,HTTP Request,200,OK,Assignment_2 8-10,text,true,,231153,262,1,3,https://www.makemytrip.com:443/holidays-india/,19,0,0
1705668295070,19,HTTP Request-0,301,Moved Permanently,Assignment_2 8-10,text,true,,353,127,1,3,https://makemytrip.com/holidays-india/,19,0,0
1705668295089,2315,HTTP Request-1,200,OK,Assignment_2 8-10,text,true,,230800,135,1,3,https://www.makemytrip.com:443/holidays-india/,2286,0,0
1705668296509,1810,HTTP Request,200,OK,Assignment_no3 9-5,text,true,,289259,246,2,3,https://www.makemytrip.com:443/hotels/,14,0,0
1705668296509,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-5,text,true,,345,119,2,3,https://makemytrip.com/hotels/,14,0,0
1705668296523,1796,HTTP Request-1,200,OK,Assignment_no3 9-5,text,true,,288914,127,2,3,https://www.makemytrip.com:443/hotels/,1748,0,0
1705668296509,3079,HTTP Request,200,OK,Assignment_no3 9-6,text,true,,231153,262,1,2,https://www.makemytrip.com:443/holidays-india/,14,0,0
1705668296509,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-6,text,true,,353,127,1,2,https://makemytrip.com/holidays-india/,14,0,0
1705668296523,3065,HTTP Request-1,200,OK,Assignment_no3 9-6,text,true,,230800,135,1,2,https://www.makemytrip.com:443/holidays-india/,3036,0,0
1705668302418,1861,HTTP Request,200,OK,Assignment_2 8-10,text,true,,244964,252,1,3,https://www.makemytrip.com:443/homestays/,16,0,0
1705668302418,16,HTTP Request-0,301,Moved Permanently,Assignment_2 8-10,text,true,,348,122,1,3,https://makemytrip.com/homestays/,16,0,0
1705668302434,1845,HTTP Request-1,200,OK,Assignment_2 8-10,text,true,,244616,130,1,3,https://www.makemytrip.com:443/homestays/,1839,0,0
1705668304599,1803,HTTP Request,200,OK,Assignment_no3 9-6,text,true,,237659,246,2,2,https://www.makemytrip.com:443/hotels/,14,0,0
1705668304599,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-6,text,true,,345,119,2,2,https://makemytrip.com/hotels/,14,0,0
1705668304613,1789,HTTP Request-1,200,OK,Assignment_no3 9-6,text,true,,237314,127,2,2,https://www.makemytrip.com:443/hotels/,1744,0,0
1705668304599,2764,HTTP Request,200,OK,Assignment_no3 9-7,text,true,,231137,262,1,1,https://www.makemytrip.com:443/holidays-india/,150,0,136
1705668304599,150,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-7,text,true,,353,127,1,1,https://makemytrip.com/holidays-india/,150,0,136
1705668304749,2614,HTTP Request-1,200,OK,Assignment_no3 9-7,text,true,,230784,135,1,1,https://www.makemytrip.com:443/holidays-india/,2493,0,105
1705668312374,1822,HTTP Request,200,OK,Assignment_no3 9-7,text,true,,244964,252,2,2,https://www.makemytrip.com:443/homestays/,14,0,0
1705668312374,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-7,text,true,,348,122,2,2,https://makemytrip.com/homestays/,14,0,0
1705668312388,1808,HTTP Request-1,200,OK,Assignment_no3 9-7,text,true,,244616,130,2,2,https://www.makemytrip.com:443/homestays/,1780,0,0
1705668318076,1923,HTTP Request,200,OK,Assignment_no3 9-8,text,true,,237642,246,2,2,https://www.makemytrip.com:443/hotels/,75,0,61
1705668318076,75,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-8,text,true,,345,119,2,2,https://makemytrip.com/hotels/,75,0,61
1705668318151,1848,HTTP Request-1,200,OK,Assignment_no3 9-8,text,true,,237297,127,2,2,https://www.makemytrip.com:443/hotels/,1802,0,44
1705668318076,2508,HTTP Request,200,OK,Assignment_no3 9-7,text,true,,231153,262,2,2,https://www.makemytrip.com:443/holidays-india/,14,0,0
1705668318076,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-7,text,true,,353,127,2,2,https://makemytrip.com/holidays-india/,14,0,0
1705668318090,2494,HTTP Request-1,200,OK,Assignment_no3 9-7,text,true,,230800,135,2,2,https://www.makemytrip.com:443/holidays-india/,2453,0,0
1705668325004,1805,HTTP Request,200,OK,Assignment_no3 9-8,text,true,,244964,252,2,2,https://www.makemytrip.com:443/homestays/,15,0,0
1705668325004,15,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-8,text,true,,348,122,2,2,https://makemytrip.com/homestays/,15,0,0
1705668325019,1790,HTTP Request-1,200,OK,Assignment_no3 9-8,text,true,,244616,130,2,2,https://www.makemytrip.com:443/homestays/,1777,0,0
1705668330073,1991,HTTP Request,200,OK,Assignment_no3 9-9,text,true,,237619,246,2,2,https://www.makemytrip.com:443/hotels/,67,0,55
1705668330073,67,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-9,text,true,,345,119,2,2,https://makemytrip.com/hotels/,67,0,55
1705668330140,1924,HTTP Request-1,200,OK,Assignment_no3 9-9,text,true,,237274,127,2,2,https://www.makemytrip.com:443/hotels/,1850,0,31
1705668330072,2182,HTTP Request,200,OK,Assignment_no3 9-8,text,true,,231153,262,2,2,https://www.makemytrip.com:443/holidays-india/,17,0,0
1705668330072,17,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-8,text,true,,353,127,2,2,https://makemytrip.com/holidays-india/,17,0,0
1705668330089,2165,HTTP Request-1,200,OK,Assignment_no3 9-8,text,true,,230800,135,2,2,https://www.makemytrip.com:443/holidays-india/,2130,0,0
